898, 1060
-1113, 1184
-1199, -789
764, -1327
1407, 454
-330, 1410
-1430, -11
-80, -1363
1451, -375
646, 1282
-1147, 1050
-1248, -664
241, -1372
1469, -451
983, 1109
-597, 1354
-1424, 193
-612, -1185
931, -1259
1455, 148
359, 1404
-1231, 1129
-1396, -466
-24, -1346
1348, -717
1279, 870
-238, 1489
-1400, 533
-1100, -972
501, -1444
1578, -208
855, 1233
-747, 1240
-1430, -69
-525, -1341
1103, -989
1510, 376
170, 1452
-1116, 945
-1240, -595
162, -1416
1489, -597
1096, 970
-450, 1403
-1529, 367
-833, -1113
743, -1274
1507, 101
478, 1295
-1169, 883
-1339, -696
493, -1339
1551, 136
131, 1442
-1457, 453
-508, -1311
1299, -756
937, 1047
-1038, 1089
-1141, -721
776, -1187
1358, 402
-324, 1418
-1468, 9
-63, -1436
1617, -312
423, 1365
-1335, 723
-906, -1139
858, -1130
1353, 603
-188, 1391
-1496, 419
-921, -1042
735, -1235
1619, -32
554, 1367
-1030, 1104
-1448, -413
-106, -1397
1480, -575
941, 1155
-915, 1193
-1373, -620
584, -1212
1476, 243
-71, 1432
-1622, 234
-326, -1292
1494, -554
691, 1253
-1228, 816
-1005, -1000
935, -1086
1288, 756
-659, 1321
-1453, -356
225, -1509
1466, 5
146, 1445
-1540, 473
-504, -1247
1280, -720
894, 1073
-1055, 1055
-1178, -699
653, -1275
1461, 326
-196, 1445
-1517, 267
-519, -1341
1179, -1026
1278, 569
-82, 1524
-1384, 638
-1036, -950
433, -1364
1518, -315
954, 1178
-788, 1337
-1529, 87
-584, -1266
936, -1180
1534, 268
236, 1304
-1172, 1001
-1218, -618
90, -1439
1428, -631
1270, 847
-231, 1441
-1497, 421
-1033, -972
697, -1312
1576, -57
750, 1311
-898, 1295
-1474, -174
-389, -1377
1232, -1007
1544, 554
76, 1477
-1265, 815
-1122, -747
354, -1316
1439, -534
962, 1054
-587, 1330
-1510, 108
-758, -1207
891, -1229
1526, 108
382, 1410
-1078, 1021
-1474, -441
-37, -1403
1409, -763
1294, 827
-250, 1488
-1489, 442
-655, -1216
1118, -990
1271, 733
-552, 1279
-1431, -328
187, -1376
1508, -91
213, 1428
-1549, 651
-602, -1244
1245, -822
991, 1029
-1071, 1128
-1223, -727
729, -1295
1390, 447
-346, 1441
-1420, 20
-47, -1364
1435, -279
613, 1353
-1232, 781
-838, -1028
1066, -1014
1194, 850
-721, 1290
-1346, -394
355, -1331
1423, 3
315, 1362
-1383, 686
-1160, -934
621, -1278
1594, 24
570, 1266
-968, 1185
-1545, -193
-263, -1434
1298, -969
1259, 707
34, 1510
-1362, 698
-1069, -812
