195, -116
173, -35
-273, -157
-132, -98
154, -105
10, 43
-322, 253
-303, 79
-14, -153
162, 72
331, 140
381, -13
252, -76
163, -53
40, 94
48, 139
-137, 252
-21, -52
210, -174
-64, 92
-201, -334
310, -425
512, 215
73, 115
-208, -361
-95, -234
108, 259
-27, 240
145, -48
210, -84
-386, -121
-370, -351
10, -501
187, -488
380, -245
31, -98
-37, -54
371, -99
455, -242
84, 134
5, 216
193, -18
229, 57
36, 35
-84, -43
-92, -114
-45, -244
-129, -264
-118, -74
217, -36
37, -24
-170, -39
-58, 195
-97, 89
-182, -155
-109, -203
-100, -410
-143, -268
50, 82
573, -184
642, -610
80, -425
-5, 46
78, 83
66, -178
-69, -381
20, -564
-108, -111
47, 235
75, 130
46, 140
107, 458
115, 155
233, -58
289, -233
321, -209
264, 168
34, 253
-74, 183
-16, 113
33, -119
3, -77
-69, -131
18, -157
-91, -101
62, -145
373, -420
190, -306
-174, -424
-171, -477
-71, -189
-209, -217
-392, -236
-170, -99
15, 41
-106, 7
-14, 125
51, 178
73, 82
12, 103
-29, 6
469, -57
615, -151
118, -183
125, -7
136, -241
94, -318
109, 5
-254, 175
-473, -65
-82, -304
23, -335
-19, -378
-144, -144
-98, 7
266, -271
-80, -398
-231, 133
393, 194
543, -88
471, -177
98, -169
-66, -28
72, -65
-17, -135
-226, -191
-125, -79
-50, 33
86, 11
253, 318
86, 170
220, -222
399, -257
179, -457
-164, -259
-436, 79
-138, -95
1, -528
-215, -501
-463, -208
-506, -33
-242, 23
-188, -29
-108, -122
271, -2
-124, 57
-482, 135
-327, 138
-218, -57
-229, -57
-353, -247
-521, -321
-418, 178
-234, 223
-54, -17
-82, -21
-264, 173
69, 145
323, 53
253, -195
247, 1
151, 335
-64, 66
-21, -74
41, -110
-35, -97
-46, -38
-102, 20
-159, -99
-24, -150
203, 186
163, 31
330, -121
567, 165
73, 93
-314, -142
77, 224
167, 303
235, 199
226, 3
-19, 221
-423, 797
-583, 755
-226, 142
-273, -214
-396, 229
-149, 302
-37, -10
89, -117
342, -171
491, -258
365, -145
463, -236
586, -177
163, 39
-280, 365
-174, 188
-99, -134
-116, -114
-36, 193
-4, 251
15, -66
-149, 183
-256, 445
-64, 222
-25, -190
65, -106
160, -206
12, -248
20, -52
156, -166
-71, -228
-463, -445
-514, -295
-101, -80
148, -29
288, -18
428, -83
218, -324
43, -91
-36, 178
53, 62
167, -85
55, 77
-264, 128
-123, 17
477, 353
657, 399
208, 323
-208, 233
-198, -42
22, 201
96, 219
-14, -178
-126, -373
-203, 32
-331, 460
-321, 273
-67, 83
46, 364
133, 1020
-59, 595
-384, -157
-515, -339
-102, -586
337, -1088
523, -1066
403, -143
-6, 243
178, 49
159, -54
-104, 297
-104, 485
150, 318
270, 130
-297, -193
-171, -686
255, -650
216, -59
301, 669
-102, 561
-244, 77
27, 77
67, 95
335, 146
325, 49
188, -77
-270, -50
-224, 67
131, -164
230, -270
293, -350
286, -272
41, 28
289, 119
312, 348
182, 319
469, -318
147, -222
-210, 283
-319, 602
-296, 432
-325, 46
-782, 279
-882, 853
-53, 812
90, 7
-281, -53
-807, 450
-667, 378
-184, 61
-453, 295
-720, 328
-571, -113
-14, -253
148, -232
-508, -12
-685, 334
-212, 39
-252, -502
-441, 70
-244, 345
59, 191
8, 309
-325, 236
-260, 221
244, 70
639, -212
577, -167
210, -194
8, 33
-6, 186
32, 110
-9, 47
65, -246
52, -167
47, 128
143, 18
-218, 91
-509, 57
-249, -120
27, -77
-3, 181
-266, 304
-518, 61
-337, 277
160, 1045
322, 460
-14, 297
-68, 598
90, 121
-277, 30
-183, 206
256, 203
197, -184
35, -592
36, 32
254, 680
147, 214
179, -50
673, 88
153, 231
-307, 197
-99, -108
17, -98
166, 74
-8, 260
-326, 468
-255, 154
-251, -194
-733, -466
-907, -538
-216, -112
101, 203
57, 54
145, -204
42, -282
50, 80
20, 166
11, -138
8, -599
-219, -678
40, -216
65, 223
-359, 354
-361, 146
195, 241
272, 684
-189, 370
-197, -180
-155, -272
-340, 98
-198, 224
145, 219
175, 253
30, 411
72, 601
30, 456
-204, 1
-186, 106
160, 334
174, 180
28, 307
330, 528
487, 645
307, 96
177, -260
-376, -241
-651, 10
-335, 92
-213, -66
-5, -199
48, -188
-90, 196
-196, 313
202, 58
385, 30
94, 47
118, -69
200, -23
162, 95
-94, 221
-325, 114
-30, -214
54, -128
30, 80
133, 154
-125, -172
-127, 19
83, 392
111, 198
51, -42
-153, 473
-306, 483
-248, 115
-224, 249
-49, 231
249, 16
594, 256
425, 281
213, 334
134, 251
-33, -67
-31, -196
-49, -96
-516, -74
-439, -173
-239, -359
-1300, -496
-948, -241
794, -101
665, 169
59, 410
18, 913
46, 499
-80, 44
-38, 4
158, -174
213, 330
34, 644
-161, 391
134, -119
169, -224
-232, -48
-480, -59
-397, -247
-768, 176
-624, 455
-328, 242
-356, 65
1, -108
-139, -157
-229, -118
106, -192
-30, -138
-466, 144
203, 286
385, 72
-66, -58
-277, -115
38, 48
-322, 115
-453, 231
48, 267
-21, 201
491, 481
735, 466
87, -25
-271, -432
-65, -64
-74, 90
-596, 213
-261, 715
30, 490
-31, 30
-306, -152
-26, 101
105, -111
-164, -250
-490, 11
-175, 128
427, -98
332, -233
-62, -223
-23, 156
-253, 323
-96, 423
-169, 592
-17, 552
288, 389
206, 148
-32, -327
-211, -345
208, 583
431, 563
-437, -482
-1006, -389
-326, 237
302, 441
-27, 299
-268, 143
88, -237
-9, 209
18, 766
-91, 50
-314, -238
-102, 152
30, -271
-97, -127
134, 527
247, 523
19, 397
73, 254
103, -88
119, -515
278, -893
925, -285
963, 336
211, 24
-172, -224
35, -297
184, -398
132, -385
418, 248
311, 432
-434, -422
-238, -257
215, 590
4, 232
-42, -299
-65, -319
76, -254
9, -445
-249, -510
-349, 50
-549, 812
-92, 313
229, -435
99, 170
-2, 724
-23, 501
